"id","id_1","id_3","id_4","id_6","id_7","id_9","id_10","id_11","id_13","id_14","id_160","id_195","id_210","id_413","id_438","id_461","id_462","id_463","id_464","id_465","id_466","id_467","id_468","id_469","id_470","id_471","id_472","id_473","id_474","id_475","id_476","id_477"
"id_1",0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"id_3",0,0,7200,0,0,0,0,859,0,6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_4",0,7200,0,0,0,0,0,1309,0,6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_6",0,0,0,0,0,0,4585,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0
"id_7",33,0,0,0,0,84,0,0,97,0,0,0,115,0,0,0,0,0,0,0,0,128,0,109,13,0,0,0,0,0,0,0
"id_9",0,0,0,0,138,0,7200,0,0,0,27,71,1790,385,18,84,39,31,213,281,36,117,12,4919,0,63,88,16,60,333,28,39
"id_10",0,0,0,0,0,7200,0,0,0,0,0,0,37,0,0,0,0,0,22,0,0,0,0,2275,0,0,0,0,0,0,0,0
"id_11",0,1313,1074,0,0,0,0,0,5309,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,76,11,27,39
"id_13",0,0,0,0,184,0,0,4840,0,0,98,194,875,521,54,0,66,60,202,137,137,183,24,3156,0,134,126,30,55,295,42,95
"id_14",0,6891,6341,0,0,0,0,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_160",0,0,0,0,0,12,0,0,36,0,0,0,58,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"id_195",0,0,0,0,0,32,0,0,74,0,0,0,244,0,0,0,0,0,96,0,0,0,0,36,0,0,198,0,0,0,0,0
"id_210",0,0,0,0,129,1668,2025,0,39,0,47,121,0,0,0,0,43,39,201,0,0,113,16,1955,0,69,125,0,0,0,0,0
"id_413",0,0,0,0,0,103,13,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0
"id_438",0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,144,0,0,0,0,0,0,0,0
"id_461",0,0,0,7200,0,0,6520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_462",0,0,0,0,0,8,0,0,32,0,0,0,42,0,0,0,0,0,0,0,0,0,64,2,0,0,0,0,0,0,0,0
"id_463",0,0,0,0,0,14,0,0,18,0,0,0,50,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"id_464",0,0,0,0,0,101,81,0,41,0,0,88,249,0,0,12,0,0,0,0,0,0,0,111,0,0,125,0,0,0,0,0
"id_465",0,0,0,0,0,141,54,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,317,0,0
"id_466",0,0,0,0,0,20,0,0,12,0,0,0,0,0,33,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0
"id_467",0,0,0,0,142,43,0,0,97,0,0,0,122,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0
"id_468",0,0,0,0,0,15,0,0,27,0,0,0,53,0,0,0,39,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"id_469",0,0,0,0,106,2833,2947,27,407,0,17,71,2047,449,173,233,15,30,222,540,30,8,7,0,0,1,79,110,81,714,96,254
"id_470",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_471",0,0,0,0,0,31,0,0,65,0,0,0,71,0,0,0,0,0,0,0,0,0,20,37,0,0,0,0,0,0,0,0
"id_472",0,0,0,0,0,41,0,0,18,0,0,200,126,0,0,0,0,0,127,0,0,0,0,45,0,0,0,0,0,0,0,0
"id_473",0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0
"id_474",0,0,0,0,0,20,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,87,0,0
"id_475",0,0,0,0,0,117,41,0,29,0,0,0,0,0,0,0,0,0,0,315,0,0,0,572,0,0,0,0,88,0,0,0
"id_476",0,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0
"id_477",0,0,0,0,0,12,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0
