"id","id_1","id_2","id_4","id_7","id_8","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_25","id_26","id_27","id_28","id_29","id_45","id_51","id_114","id_160","id_193","id_197","id_198","id_199","id_200","id_201","id_202"
"id_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0
"id_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
"id_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"id_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_22",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,33,0,0,0,0,241,0,0,42,0,0,0,0,0,0,0
"id_25",0,0,0,45,0,0,0,0,0,0,101,0,0,0,44,0,0,33,0,0,55,727,185,0,0,0,105,0,0,38,0,0,0,65
"id_26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,1536,0,0,0,65,0,240,0,12,102,0,0,0
"id_27",0,0,0,37,0,0,5,0,0,0,0,62,0,0,0,0,0,0,55,620,0,0,86,0,0,63,0,0,0,0,0,0,1,0
"id_28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,1536,0,0,0,0,0,0,0,0,45,180,0,0,0,0
"id_29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"id_114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,63,0,0,0,0,0,0,95,0,0,0,0,0,0
"id_160",0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,42,105,0,0,0,0,0,0,0,0,135,0,0,0,101,0,65
"id_193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,95,135,0,0,0,0,0,0,221
"id_197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
"id_198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,12,0,180,0,0,0,0,0,0,0,0,0,0,0,0
"id_199",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,6
"id_201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110
"id_202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,11,0,65,221,0,0,0,6,110,0
